Speed_km_h,Relative_Distance_m,Direction_deg,Brake_Turn_Status
50,21,-22,none_next_brake_self
37,24,-39,none_next_brake_self
54,59,43,none_next_turn_self
83,36,-12,none_next_brake_self
35,31,-12,brake_next_brake_self
35,82,-40,none_none
86,83,-14,none_none
58,105,45,none_none
31,53,-16,none_next_brake_self
52,9,54,none_next_turn_self
31,35,54,none_next_brake_self
31,124,-43,brake_next_brake_self
44,76,-39,none_next_turn_self
15,90,44,brake_next_brake_self
17,1,-13,brake_next_brake_self
30,66,-59,none_none
24,5,-27,brake_next_brake_self
46,72,12,none_none
25,117,36,none_next_turn_self
20,123,-44,none_none
81,69,-47,brake_next_brake_self
35,58,51,none_next_turn_self
41,120,30,none_next_brake_self
20,86,11,none_none
30,8,32,none_next_brake_self
42,59,-9,none_next_brake_self
22,31,31,none_none
48,60,-15,none_next_brake_self
29,58,-31,brake_next_brake_self
34,74,27,none_next_brake_self
29,45,-10,none_none
98,21,58,none_next_brake_self
39,64,-18,none_next_brake_self
23,105,51,brake_next_brake_self
59,84,52,none_next_turn_self
22,43,-31,none_none
44,119,36,none_next_brake_self
15,116,-8,none_next_brake_self
20,27,50,brake_next_brake_self
44,5,-6,brake_next_turn_self
57,94,29,brake_next_turn_self
43,105,-4,none_next_turn_self
37,123,-33,none_next_turn_self
34,113,-36,none_none
19,76,-9,brake_next_brake_self
28,67,31,none_none
31,4,13,none_next_turn_self
66,31,23,none_next_turn_self
47,58,-26,none_none
16,80,-2,brake_next_turn_self
46,71,-55,brake_next_brake_self
33,94,38,none_none
28,36,59,none_next_brake_self
53,72,-11,brake_next_brake_self
65,11,-59,none_next_brake_self
62,53,-40,none_next_brake_self
26,95,18,none_none
34,88,13,brake_next_turn_self
46,126,35,none_next_brake_self
64,35,-30,none_next_turn_self
31,63,32,none_next_brake_self
36,42,23,none_none
23,56,-21,brake_next_brake_self
22,109,5,none_none
59,87,-42,none_next_turn_self
77,112,-6,none_none
38,26,46,none_next_brake_self
65,111,-9,none_next_brake_self
47,8,41,none_none
29,113,11,none_none
47,42,-37,none_next_brake_self
84,40,10,brake_next_turn_self
39,65,1,none_next_turn_self
85,119,-12,none_none
11,6,-46,none_next_brake_self
59,45,-10,none_none
41,109,-51,none_none
34,50,-48,none_none
41,25,-10,none_next_turn_self
15,54,-23,none_next_brake_self
35,49,51,none_none
47,116,-15,none_none
81,97,31,none_none
31,64,4,none_next_brake_self
27,126,24,none_none
31,59,-29,none_next_brake_self
62,7,53,none_next_brake_self
46,33,4,none_none
30,55,40,none_next_turn_self
51,20,-16,none_none
41,120,-48,none_next_brake_self
64,97,21,none_none
28,34,-59,none_next_brake_self
34,75,-3,none_none
33,92,-37,none_next_brake_self
19,120,15,none_none
46,112,58,none_none
45,65,-4,none_next_brake_self
40,98,38,none_next_brake_self
35,71,1,none_none
20,70,0,none_none
32,15,52,none_none
33,16,47,none_none
27,67,34,none_next_brake_self
36,34,-24,none_next_brake_self
48,3,5,none_next_brake_self
99,92,-33,brake_next_turn_self
43,4,-7,none_none
45,76,-2,brake_next_brake_self
38,68,40,none_none
15,123,48,none_none
39,61,-10,none_none
41,8,-58,none_none
132,70,43,none_next_brake_self
36,107,-39,none_none
46,127,15,brake_next_turn_self
39,55,-57,brake_next_brake_self
22,41,-12,none_none
69,115,58,brake_next_brake_self
57,24,-48,none_none
58,78,-9,none_none
25,52,-23,none_none
79,5,49,none_next_brake_self
20,44,44,none_none
53,34,-31,brake_next_brake_self
115,87,-50,none_none
24,120,15,brake_next_turn_self
30,34,-20,none_none
41,103,21,none_next_brake_self
31,7,-56,brake_next_brake_self
18,68,-44,none_next_turn_self
41,9,22,brake_next_turn_self
23,119,-35,none_none
50,97,43,none_next_brake_self
25,84,-53,none_next_brake_self
84,105,-34,none_next_turn_self
27,82,60,none_next_brake_self
34,123,-8,none_next_brake_self
59,91,24,none_none
22,117,-38,brake_next_turn_self
44,66,13,brake_next_brake_self
75,15,27,none_next_brake_self
18,67,-22,none_next_brake_self
43,16,39,none_next_turn_self
45,75,12,none_next_brake_self
58,61,-13,none_none
21,79,7,brake_next_brake_self
21,1,9,none_next_brake_self
51,25,-40,none_next_brake_self
46,62,-12,none_none
45,121,-19,none_none
47,49,-12,none_next_turn_self
28,54,31,none_none
44,91,-2,none_next_brake_self
46,77,53,brake_next_brake_self
28,38,-25,brake_next_turn_self
98,52,-10,none_next_brake_self
50,28,34,none_next_brake_self
22,123,6,brake_next_brake_self
55,17,6,none_next_brake_self
24,47,-54,none_next_brake_self
58,3,-12,brake_next_brake_self
70,28,-28,none_next_brake_self
26,99,60,none_none
63,26,-23,none_next_brake_self
48,10,46,none_none
59,60,21,none_none
100,1,-19,none_next_brake_self
35,11,5,none_next_brake_self
27,103,41,none_next_brake_self
25,98,46,none_none
26,116,-41,none_next_brake_self
38,109,-19,brake_next_turn_self
47,87,-20,brake_next_brake_self
45,7,-55,none_none
59,99,12,none_next_brake_self
40,107,43,none_none
80,101,-14,none_next_turn_self
35,65,29,none_none
149,30,15,none_next_turn_self
54,107,-15,none_next_turn_self
26,92,-43,none_none
23,125,25,none_none
50,20,43,brake_next_brake_self
35,29,22,brake_next_turn_self
56,27,-58,none_none
50,101,-34,none_none
38,24,-52,none_next_turn_self
26,8,8,none_next_turn_self
19,127,31,none_none
32,3,-47,none_next_brake_self
60,106,41,none_none
44,46,7,brake_next_brake_self
21,107,23,none_none
43,70,57,none_none
48,115,-50,none_none
